Majority.protein.IDs,Fasta.headers,Score,id,uniprot_id,gene_symbol,description,WT_1,WT_2,WT_3,hnox_1,hnox_2,hnox_3,dgc_1,dgc_2,dgc_3,logFC_hnox_vs_WT,CI.L_hnox_vs_WT,CI.R_hnox_vs_WT,average_intensity_hnox_vs_WT,t_hnox_vs_WT,B_hnox_vs_WT,P.Value_hnox_vs_WT,adj.P.Val_hnox_vs_WT,sig.PVal_hnox_vs_WT,sig.FDR_hnox_vs_WT,logFC_dgc_vs_WT,CI.L_dgc_vs_WT,CI.R_dgc_vs_WT,average_intensity_dgc_vs_WT,t_dgc_vs_WT,B_dgc_vs_WT,P.Value_dgc_vs_WT,adj.P.Val_dgc_vs_WT,sig.PVal_dgc_vs_WT,sig.FDR_dgc_vs_WT,logFC_dgc_vs_hnox,CI.L_dgc_vs_hnox,CI.R_dgc_vs_hnox,average_intensity_dgc_vs_hnox,t_dgc_vs_hnox,B_dgc_vs_hnox,P.Value_dgc_vs_hnox,adj.P.Val_dgc_vs_hnox,sig.PVal_dgc_vs_hnox,sig.FDR_dgc_vs_hnox
A1AXZ9,"tr|A1AXZ9|A1AXZ9_PARDP Amino acid/amide ABC transporter substrate-binding protein, HAAT family OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0026 PE=4 SV=1",26.703,21,A1AXZ9,Pden_0026,"Amino acid/amide ABC transporter substrate-binding protein, HAAT family",13.42836001,13.24042499,13.41167465,12.91568412,12.39927776,12.9078679,13.75338221,13.85148653,13.80010089,-0.619209961,-0.926158985,-0.312260937,13.30091767,-4.623083253,-1.477975353,0.001547446,0.024372415,0,0,0.441503324,0.1345543,0.748452348,13.30091767,3.296307796,-2.975675227,0.010379357,0.091099184,0,0,1.060713285,0.753764261,1.367662309,13.30091767,7.919391048,2.308573217,3.83E-05,0.001051883,1,1
A1AY00,tr|A1AY00|A1AY00_PARDP 40-residue YVTN family beta-propeller repeat protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0027 PE=4 SV=1,45.651,22,A1AY00,Pden_0027,40-residue YVTN family beta-propeller repeat protein,18.71205578,18.56195921,18.45987802,18.1345511,17.95386849,18.16661922,19.05989876,19.09244279,19.13933856,-0.492951402,-0.679743891,-0.306158913,18.58673466,-6.027032813,0.453133066,0.000249769,0.007999417,0,0,0.519262367,0.332469878,0.706054857,18.58673466,6.348721833,1.228119258,0.000172856,0.010348343,0,0,1.012213769,0.82542128,1.199006258,18.58673466,12.37575465,6.169123951,1.02E-06,8.35E-05,1,1
A1AY01,tr|A1AY01|A1AY01_PARDP Secreted protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0028 PE=4 SV=1,15.15,23,A1AY01,Pden_0028,Secreted protein,17.02992998,17.1933412,17.23624682,15.99483492,16.36207207,16.37628482,17.8331463,17.98595684,17.84931255,-0.908775399,-1.160887141,-0.656663657,17.09568061,-8.234657339,2.89626635,2.55E-05,0.001763273,0,0,0.736299227,0.484187485,0.988410969,17.09568061,6.671804542,1.585955193,0.000121936,0.008878287,0,0,1.645074626,1.392962885,1.897186368,17.09568061,14.90646188,7.744624411,2.29E-07,2.81E-05,1,1
A1AY04,tr|A1AY04|A1AY04_PARDP DUF4142 domain-containing protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0031 PE=4 SV=1,18.04,24,A1AY04,Pden_0031,DUF4142 domain-containing protein,15.19383221,15.25962379,15.07648578,14.83387035,14.69134615,14.68027711,15.09775899,15.27067644,15.24189323,-0.441482726,-0.613846499,-0.269118954,15.03841823,-5.849605576,0.229588684,0.000307717,0.008753804,0,0,0.026795624,-0.145568149,0.199159397,15.03841823,0.355039559,-6.723146441,0.731236704,0.839131501,0,0,0.468278351,0.295914578,0.640642123,15.03841823,6.204645136,0.474089372,0.00020351,0.003253612,0,0
A1AY05,tr|A1AY05|A1AY05_PARDP Molybdenum cofactor guanylyltransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=mobA PE=3 SV=1,36.778,25,A1AY05,mobA,Molybdenum cofactor guanylyltransferase,15.45842752,15.40671504,15.59336728,15.54391932,15.62355153,15.41769156,15.65428253,15.60120731,15.86818819,0.042217523,-0.163791313,0.248226359,15.57415003,0.468021451,-7.233003174,0.651573667,0.81370463,0,0,0.22172273,0.015713894,0.427731566,15.57415003,2.458007646,-4.284177294,0.037845031,0.1544507,0,0,0.179505207,-0.026503628,0.385514043,15.57415003,1.989986195,-5.772668389,0.079777689,0.198058808,0,0
A1AY08,tr|A1AY08|A1AY08_PARDP Aminopyrimidine aminohydrolase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0035 PE=3 SV=1,58.748,26,A1AY08,Pden_0035,Aminopyrimidine aminohydrolase,19.18736988,19.34080937,19.25250263,19.23526598,19.1850355,19.36427101,19.43083096,19.32937947,19.26528379,0.001296869,-0.163567416,0.166161154,19.28786095,0.017965051,-7.353223849,0.986082634,0.994565989,0,0,0.081604114,-0.083260171,0.246468399,19.28786095,1.130431701,-6.135686796,0.289277666,0.475191482,0,0,0.080307245,-0.084557041,0.24517153,19.28786095,1.11246665,-6.939389347,0.296503702,0.468974674,0,0
A1AY09,tr|A1AY09|A1AY09_PARDP NlpA lipoprotein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0036 PE=4 SV=1,56.798,27,A1AY09,Pden_0036,NlpA lipoprotein,21.95658176,22.00816477,21.93049861,21.9480323,22.08319097,22.15027439,22.22763573,22.24483414,22.21217746,0.095417504,-0.045252132,0.23608714,22.0845989,1.5491253,-6.177611477,0.157847696,0.364076793,0,0,0.263134061,0.122464424,0.403803697,22.0845989,4.272042482,-1.476037166,0.002381484,0.042300046,0,0,0.167716557,0.02704692,0.308386193,22.0845989,2.722917182,-4.616370932,0.024796619,0.090395253,0,0
A1AY10,tr|A1AY10|A1AY10_PARDP UBA/THIF-type NAD/FAD binding protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0037 PE=4 SV=1,27.607,28,A1AY10,Pden_0037,UBA/THIF-type NAD/FAD binding protein,14.77095163,15.09951991,15.00891448,15.07155893,15.19697822,14.61372964,14.88853144,15.10497744,15.13103267,0.00096026,-0.356753329,0.358673849,14.98735493,0.006151958,-7.35338242,0.995236834,0.998928323,0,0,0.081718511,-0.275995079,0.4394321,14.98735493,0.52353418,-6.643039292,0.614294835,0.756012008,0,0,0.080758251,-0.276955338,0.43847184,14.98735493,0.517382222,-7.436145305,0.618397272,0.747738892,0,0
A1AY11,tr|A1AY11|A1AY11_PARDP Thiamine-phosphate diphosphorylase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0038 PE=4 SV=1,15.66,29,A1AY11,Pden_0038,Thiamine-phosphate diphosphorylase,19.08104744,18.88659348,18.99646724,19.1567159,18.95750839,19.20959213,19.17976835,19.11143624,19.07382461,0.119902755,-0.065168988,0.304974497,19.07255042,1.479612206,-6.269754022,0.175169591,0.387444071,0,0,0.133640348,-0.051431395,0.318712091,19.07255042,1.649135508,-5.492449513,0.135619415,0.30831958,0,0,0.013737593,-0.171334149,0.198809336,19.07255042,0.169523302,-7.567372678,0.869363127,0.928908002,0,0
A1AY12,sp|A1AY12|THIG_PARDP Thiazole synthase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=thiG PE=3 SV=1,49.651,30,A1AY12,thiG,Thiazole synthase,19.14428612,19.16591876,19.17969586,19.28843811,19.31846249,19.42495232,19.33166112,19.24010254,18.89664997,0.180650727,-0.058584007,0.419885461,19.2211297,1.724544237,-5.935118571,0.120789816,0.314100158,0,0,-0.007162375,-0.246397109,0.232072359,19.2211297,-0.068374109,-6.789642309,0.947074101,0.970120771,0,0,-0.187813102,-0.427047836,0.051421632,19.2211297,-1.792918346,-6.064482206,0.108654599,0.241179395,0,0
A1AY13,tr|A1AY13|A1AY13_PARDP Thiamine biosynthesis protein ThiS OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0040 PE=4 SV=1,10.701,31,A1AY13,Pden_0040,Thiamine biosynthesis protein ThiS,18.52113719,18.45757416,18.4872894,18.50551412,18.50162714,19.00535618,18.82304824,19.5194918,18.79539278,0.182165559,-0.289986365,0.654317484,18.735159,0.884187852,-6.936581844,0.401489472,0.630354304,0,0,0.557310684,0.08515876,1.029462609,18.735159,2.705052146,-3.903353931,0.025993295,0.130402118,0,0,0.375145125,-0.097006799,0.84729705,18.735159,1.820864294,-6.025291738,0.104776127,0.23716223,0,0
A1AY14,tr|A1AY14|A1AY14_PARDP Glycine oxidase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0041 PE=4 SV=1,20.42,32,A1AY14,Pden_0041,Glycine oxidase,16.40122969,16.48947139,16.56253416,16.30945125,16.56800667,16.32173953,16.19356643,16.4512838,16.34199849,-0.084679262,-0.299453196,0.130094672,16.4043646,-0.900439116,-6.922377429,0.392760839,0.623143523,0,0,-0.155462171,-0.370236105,0.059311763,16.4043646,-1.653111003,-5.486987539,0.134797703,0.30710231,0,0,-0.070782909,-0.285556843,0.143991025,16.4043646,-0.752671887,-7.277621878,0.472039891,0.634885405,0,0
A1AY15,tr|A1AY15|A1AY15_PARDP Hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0042 PE=4 SV=1,62.371,33,A1AY15,Pden_0042,Hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase,19.72688455,19.81635549,19.69558311,19.7443906,19.78346739,19.80872414,19.80110325,19.87029182,19.88855157,0.032586327,-0.091550892,0.156723547,19.79281688,0.599504242,-7.15744311,0.564521151,0.752332723,0,0,0.107041162,-0.017096058,0.231178381,19.79281688,1.969280857,-5.033935689,0.082427697,0.23208508,0,0,0.074454834,-0.049682385,0.198592054,19.79281688,1.369776615,-6.6385735,0.205957682,0.363299983,0,0
A1AY16,"tr|A1AY16|A1AY16_PARDP HAD-superfamily hydrolase, subfamily IA, variant 3 OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0043 PE=4 SV=1",32.992,34,A1AY16,Pden_0043,"HAD-superfamily hydrolase, subfamily IA, variant 3",19.76237022,19.86027676,19.79454759,19.85644997,19.76474429,19.72680299,19.66549622,19.79640765,19.85288421,-0.023065776,-0.174233916,0.128102364,19.78666443,-0.348471013,-7.286276082,0.735987882,0.863943945,0,0,-0.0341355,-0.18530364,0.11703264,19.78666443,-0.515709181,-6.647670997,0.619242712,0.760711293,0,0,-0.011069724,-0.162237864,0.140098415,19.78666443,-0.167238168,-7.567800338,0.871105714,0.929970426,0,0
A1AY18,tr|A1AY18|A1AY18_PARDP 3-dehydroquinate dehydratase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aroQ PE=3 SV=1,3.27,35,A1AY18,aroQ,3-dehydroquinate dehydratase,11.39642789,10.80051315,11.13040647,12.07056946,11.88099844,11.82557993,11.50553507,11.22122668,11.26575198,0.816600106,0.473046789,1.160153423,11.45522323,5.44722511,-0.349908372,0.000539042,0.012518784,0,0,0.221722072,-0.121831245,0.565275389,11.45522323,1.479022631,-5.719561418,0.176066626,0.361802814,0,0,-0.594878034,-0.938431351,-0.251324717,11.45522323,-3.968202479,-2.659801701,0.003838195,0.025158389,0,0
A1AY19,"tr|A1AY19|A1AY19_PARDP Two component transcriptional regulator, winged helix family OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0046 PE=4 SV=1",75.494,36,A1AY19,Pden_0046,"Two component transcriptional regulator, winged helix family",18.02393069,18.16928691,18.126507,18.13732329,18.20925307,18.11590167,17.82678374,17.9923006,17.94382891,0.047584472,-0.100950741,0.196119685,18.06056843,0.73163537,-7.064444102,0.484133989,0.695302173,0,0,-0.185603786,-0.334138999,-0.037068573,18.06056843,-2.853752253,-3.657931216,0.020147002,0.118765917,0,0,-0.233188258,-0.381723471,-0.084653045,18.06056843,-3.585387623,-3.229182253,0.006489151,0.03563548,0,0
